Material ID,Formula,Crystal System,Sites,Energy Above Hull,Formation Energy,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization
mp-1079523,CoO4,Monoclinic,10,0.599108415,-0.044351181,196.4895649,2.077783497,0.0161,False,False,FM,1.9991075
mp-1079143,CoGe,Monoclinic,8,0.665772696,0.593298122,129.0511689,6.771962851,0,False,True,FM,4.3762665
mp-21237,CoGe,Monoclinic,8,0,-0.072474574,103.6394011,8.432408065,0,False,True,NM,1.00E-07
mp-30568,Zn13Co,Monoclinic,14,0,-0.040924318,194.3696483,7.767907608,0,False,True,NM,0
mp-556750,CoO2,Monoclinic,3,0.16302866,-0.909404,78.48011234,1.92400502,0,False,True,FM,1.0000209
mp-949,CoPt,Tetragonal,4,0,-0.073157965,53.42636459,15.790162,0,False,True,FM,4.8160375
mp-20559,Ga3Co,Tetragonal,16,0,-0.200663183,244.2607203,7.290474999,0,False,True,NM,1.00E-07
mp-22236,In3Co,Tetragonal,16,0,-0.016332998,328.6815891,8.151843223,0,False,True,NM,1.00E-07
mp-555908,CoF2,Tetragonal,6,0,-2.341685073,68.98126085,4.666660251,2.2721,True,False,FM,6.0000001
mp-1104193,Be12Co,Tetragonal,13,0.04868434,-0.03906608,104.5560066,2.653523649,0,False,True,NM,0
mp-1079139,K3Co,Monoclinic,8,0.868490213,0.868490213,536.3238386,1.091257242,0,False,True,FM,4.0631794
mp-14285,CoP2,Monoclinic,12,0,-0.506288873,154.8326886,5.185653189,0.4378,False,False,NM,0
mp-2715,CoAs2,Monoclinic,12,0,-0.290117706,183.7683898,7.546049905,0.1723,False,False,NM,0
mp-755,CoSb2,Monoclinic,12,0.030628978,-0.100823533,240.5194689,8.352510479,0,False,True,NM,0
mp-1105020,Pu6Co,Tetragonal,14,0.564794505,0.543428668,289.1064749,17.49452389,0,False,True,FM,35.3474108
mp-20155,CoSn2,Tetragonal,6,0.01292767,-0.05180113,108.3188383,9.086250659,0,False,True,NM,0
mp-30562,Sc2Co,Tetragonal,6,0.066573503,-0.127596688,111.0593571,4.451006659,0,False,True,NM,1.50E-06
mp-574,Ta2Co,Tetragonal,6,0,-0.234795238,91.90798294,15.20657723,0,False,True,NM,0
mp-582635,U6Co,Tetragonal,14,0.040777446,-0.003068789,269.1314307,18.35087556,0,False,True,NM,0.054816
mp-628,Zr2Co,Tetragonal,6,0.043680502,-0.176628427,110.0989171,7.281141627,0,False,True,NM,3.50E-06
mp-985707,CoSn3,Tetragonal,32,0,-0.049153362,676.8834483,8.145906385,0,False,True,NM,0.0118687
mp-860537,CoF3,Trigonal,12,0.249699884,-1.901229,153.8580612,3.753530557,0.4727,False,False,FM,2.00E-07
mp-1009641,CoTe2,Trigonal,3,0.019206192,-0.16567397,68.80336644,7.581466859,0,False,True,NM,1.00E-06
mp-30033,CoBr2,Trigonal,3,0,-0.667765813,77.81513087,4.667836393,0.1072,False,False,FM,3.0043052
mp-32686,CoO2,Trigonal,6,0.107486098,-0.964946562,58.48552582,5.163538431,0,False,True,AFM,0.0006284
mp-569610,CoI2,Trigonal,3,0,-0.241685687,87.01640039,5.968076484,0,False,True,FM,1.0067575
mp-1062939,CoO2,Trigonal,12,0.106500737,-0.965931923,132.890989,4.54496219,0,False,True,FM,3.997366
mp-1272749,CoO2,Trigonal,6,0.119697157,-0.952735503,91.8785333,3.286864182,0,False,True,FM,1.999965
mp-23240,CoCl2,Trigonal,3,0,-0.942769025,64.59071595,3.337988324,0.0843,False,False,FM,2.9979683
mp-550206,CoO2,Trigonal,3,0.006749412,-1.065683248,55.87195158,2.702539035,0,False,True,FM,0.9999951
mp-559473,CoF3,Trigonal,8,0.052310416,-2.098618468,86.98391207,4.42618963,0,False,True,FM,3.999653
mp-19128,CoO,Hexagonal,4,0.00041258,-1.271418566,46.3005175,5.374821194,0.712,True,False,AFM,3.55E-05
mp-20026,Pu2Co,Hexagonal,9,0.144367424,0.094513804,182.6391938,14.91800174,0,False,True,FiM,32.0401819
mp-1059765,CoBr,Hexagonal,2,0.939785603,0.438961243,47.70537893,4.832674876,0,False,True,FM,2.0247623
mp-20536,CoSn,Hexagonal,6,0,-0.095879676,99.80698048,8.86661826,0,False,True,NM,2.00E-07
mp-1102370,Ta2Co,Hexagonal,12,0.469105702,0.234310463,192.3201703,14.53415768,0,False,True,NM,0.0017043
mp-1079065,Zr3Co,Hexagonal,8,0.331596074,0.166364378,155.2278484,7.116041687,0,False,True,NM,0.0179619
